draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
3679,992.334340543804,0.9722191070692623,0.004799396755511533,9.0,767.0,0.0,-991.6952401444886,-2.682529808743989,0.010754186466833467,0.0840679312926664
3680,991.5683474240593,0.9628245024456472,0.004116071977974781,9.0,511.0,0.0,-989.7315021181369,-2.593786930732257,0.010477688744354998,0.07767600072306664
3681,992.896943774118,0.9999546060503031,0.0034207472301264106,8.0,471.0,0.0,-988.7139958953192,-2.5101436872156513,0.010197411002853513,0.08016396689412697
3682,993.0469574599806,0.9499041543087737,0.003564376648405653,8.0,299.0,0.0,-992.6093801960156,-2.438012469279239,0.009997539573613835,0.08024557035341646
3683,991.7940737944322,0.9933174406570597,0.004799396755511533,8.0,255.0,0.0,-991.7151683541584,-2.70318762563447,0.010825109679798862,0.08469525908628064
3684,993.9021764448622,0.9999880088518645,0.004116071977974781,9.0,511.0,0.0,-991.2228487769358,-2.5394551173282607,0.010303948738868819,0.08449055888083468
3685,993.1836405430437,0.9892486804113065,0.0034207472301264106,10.0,1023.0,0.0,-991.90441410858,-2.3518724666117645,0.00971480867337303,0.08092226548169341
3686,994.119427430748,0.9999887882021375,0.003564376648405653,8.0,295.0,0.0,-993.0265559952362,-2.472339752306311,0.010090904938686156,0.08136612786813836
3687,992.7955599816894,0.9872554170081063,0.004799396755511533,9.0,511.0,0.0,-990.3185321431397,-2.6129518106473846,0.010541120961216252,0.08584074327622589
3688,993.7512736364276,0.9529647710801362,0.004116071977974781,3.0,11.0,0.0,-993.5897336025214,-2.53965479213259,0.010298705936930667,0.08449528466278415
3689,991.4111606522878,0.8008119553397399,0.0034207472301264106,10.0,1023.0,0.0,-990.4805094120359,-2.6398604592700767,0.01059997367762958,0.08246094094002357
3690,993.8562846064452,0.9858272131003608,0.003564376648405653,8.0,331.0,0.0,-993.2546408602561,-2.472869856974364,0.010093307645503742,0.08039804939458861
3691,992.9282694072002,0.9925058722886363,0.004799396755511533,9.0,639.0,0.0,-991.0524897380593,-2.3807147329896434,0.009799561230076557,0.07958556563923383
3692,993.1355202726057,0.9999126474133393,0.004116071977974781,9.0,511.0,0.0,-992.8429695497352,-2.4483408601328214,0.010022646470339186,0.08650977999770677
3693,992.7147348168097,0.9901212665970704,0.0034207472301264106,9.0,659.0,0.0,-990.3041064675049,-2.478879974305613,0.010132816356470018,0.08455550038022999
3694,993.8562846064452,0.5920135750909826,0.003564376648405653,2.0,3.0,0.0,-991.493856709478,-2.472869856974364,0.010093307645503742,0.08039804939458861
3695,990.7371957355066,0.5327880721664049,0.004799396755511533,2.0,3.0,0.0,-990.4031317295533,-2.381282039007935,0.009781511637410372,0.07959459820657172
3696,992.9439832448218,0.9515532040698812,0.004116071977974781,10.0,1023.0,0.0,-992.0959778488582,-2.507980830675894,0.010194700665336592,0.0794010358385076
3697,992.4624730484948,0.9999974215160833,0.0034207472301264106,8.0,375.0,0.0,-990.5342910782098,-2.3111353066063636,0.00958379585199894,0.08546658949205127
3698,993.2011721191693,0.9523467105569473,0.003564376648405653,10.0,1023.0,0.0,-992.3851649551858,-2.6119956582463835,0.010535619357648891,0.0809013921157004
3699,991.7873558123149,0.9416436536827855,0.004799396755511533,9.0,511.0,0.0,-989.8402484095443,-2.444010201446636,0.010013038427010484,0.07770453302170566
3700,993.0840497150957,0.839334474088784,0.004116071977974781,10.0,1023.0,0.0,-990.7212752842852,-2.4159947282746423,0.009921638170888819,0.08623210207783019
3701,992.5097754342426,0.9931526419317759,0.0034207472301264106,10.0,1023.0,0.0,-989.8550772392699,-2.2955977707724435,0.009539061797194326,0.08192633681062392
3702,992.6802012035337,0.8586032077567376,0.003564376648405653,10.0,1023.0,0.0,-991.5735734526701,-2.555243451794451,0.010336220883617561,0.08432721155575425
3703,993.7525939379751,0.9231645601106858,0.004799396755511533,9.0,511.0,0.0,-990.4911092660323,-2.412638531669928,0.009912417754876628,0.08366253433042306
3704,991.777111120115,0.817389241008803,0.004116071977974781,10.0,1023.0,0.0,-991.2640827429518,-2.3939898349123903,0.009825003636459684,0.08594993851011493
3705,993.8674060607352,0.9999957249081379,0.0034207472301264106,9.0,1023.0,0.0,-991.0982065036941,-2.4757252008426027,0.010103839646474868,0.08510446219148536
3706,993.022386600889,0.9916390115040742,0.003564376648405653,9.0,519.0,0.0,-990.8325925181111,-2.3671185165485484,0.009747769956050562,0.08333781581781992
3707,994.0751686990927,0.998953125921255,0.004799396755511533,8.0,511.0,0.0,-992.1391717955815,-2.49650294459171,0.010175033367339392,0.08362156953636886
3708,990.891928163593,0.7718330651555827,0.004116071977974781,1.0,1.0,0.0,-990.5188653427737,-2.394093766996685,0.009819730474989321,0.08594502036679519
3709,993.9451148479005,0.960811513728936,0.0034207472301264106,9.0,1023.0,0.0,-992.2623244541039,-2.497267101084129,0.010174093990010128,0.08474853636780977
3710,992.5599179842815,0.9741356370227982,0.003564376648405653,9.0,647.0,0.0,-990.3758411614451,-2.6315354078385793,0.01060767189437472,0.08427446951143257
3711,993.4641033567232,0.5359685063014927,0.004799396755511533,6.0,99.0,0.0,-991.0610006930725,-2.4932132852617617,0.010144187783519651,0.08351151976809314
3712,991.3261234214958,0.9657144838883722,0.004116071977974781,8.0,487.0,0.0,-989.3247590960881,-2.4882719736018495,0.010114763138310046,0.08371210345708575
3713,993.9396868984003,0.9720855310481602,0.0034207472301264106,10.0,1023.0,0.0,-993.1925266888172,-2.5340651426339535,0.010294652665927106,0.08212732829807189
3714,993.5237738254579,0.9927122598750046,0.003564376648405653,10.0,1023.0,0.0,-991.7675941481011,-2.5198489769846653,0.010244142939554756,0.0797559023242794
3715,993.6536396470765,0.9435819882900219,0.004799396755511533,9.0,559.0,0.0,-991.5352477324758,-2.4717844233829633,0.010093044875126739,0.07992076489110911
3716,992.1559421250532,0.9998301483738552,0.004116071977974781,8.0,311.0,0.0,-991.0258618044277,-2.4410264138018487,0.009970573514603343,0.08372594192755224
3717,993.963644737956,0.9943132476797245,0.0034207472301264106,9.0,647.0,0.0,-993.7324747060967,-2.441419248341293,0.00998779471308337,0.08215268657898926
3718,993.1098465602062,0.8428327909639315,0.003564376648405653,10.0,1023.0,0.0,-991.2870174418812,-2.38891114808858,0.009839830301967735,0.08064168411957591
3719,991.4036772310518,0.6035000597323359,0.004799396755511533,2.0,7.0,0.0,-991.282590189755,-2.471628431940898,0.010066580228690072,0.07990780122214537
3720,994.0644288479566,0.9928925921609113,0.004116071977974781,8.0,399.0,0.0,-992.0069363730072,-2.4607455972788967,0.010054491590863798,0.08427460456415602
3721,993.4448039471984,0.9658960522168204,0.0034207472301264106,9.0,575.0,0.0,-992.2643145201231,-2.5524451485337396,0.010334286741249716,0.08418589183079761
3722,993.499464353987,0.9943277154143689,0.003564376648405653,8.0,347.0,0.0,-992.5524779602073,-2.4241692478410988,0.009930306840213333,0.08112313656461476
3723,992.1668073893984,0.8598720904368715,0.004799396755511533,2.0,3.0,0.0,-990.2439342082721,-2.4722308391412184,0.010112022238744413,0.07991596266523149
3724,993.6796795469337,0.99988889653841,0.004116071977974781,9.0,1023.0,0.0,-992.9181067686521,-2.3727427283166795,0.009777149722395889,0.08337151026740135
3725,992.4125190622257,0.9103795535547969,0.0034207472301264106,9.0,599.0,0.0,-990.8346944334791,-2.5436801749334297,0.010330554375742039,0.08688414709132214
